time,healthy,sick,recovered,dead
3.925000,1,143,40,12
3.930000,1,143,40,12
3.935000,1,142,41,12
3.940000,1,139,44,12
3.945000,1,139,44,12
3.950000,1,137,46,12
3.955000,1,136,47,12
3.960000,1,135,48,12
3.965000,1,135,48,12
3.970000,1,134,49,12
3.975000,1,132,51,12
3.980000,1,132,51,12
3.985000,1,131,52,12
3.990000,1,130,53,12
3.995000,1,128,55,12
4.000000,1,127,56,12
4.005000,1,127,56,12
4.010000,1,124,59,12
4.015000,1,123,60,12
4.020000,1,123,60,12
4.025000,1,123,60,12
4.030000,1,123,60,12
4.035000,1,122,61,12
4.040000,1,122,61,12
4.045000,1,121,62,12
4.050000,1,120,63,12
4.055000,1,119,64,12
4.060000,1,119,64,12
4.065000,1,119,64,12
4.070000,1,118,65,12
4.075000,1,115,68,12
4.080000,1,115,68,12
4.085000,1,115,68,12
4.090000,1,114,69,12
4.095000,1,114,69,12
4.100000,1,112,71,12
4.105000,1,110,73,12
4.110000,1,109,74,12
4.115000,1,109,74,12
4.120000,1,109,74,12
4.125000,1,109,74,12
4.130000,1,109,74,12
4.135000,1,108,75,12
4.140000,1,106,77,12
4.145000,1,106,77,12
4.150000,1,106,77,12
4.155000,1,106,77,12
4.160000,1,104,79,12
4.165000,1,103,80,12
4.170000,1,103,80,12
4.175000,1,103,80,12
4.180000,1,103,80,12
4.185000,1,103,80,12
4.190000,1,103,80,12
4.195000,1,103,80,12
4.200000,1,102,81,12
4.205000,1,102,81,12
4.210000,1,101,82,12
4.215000,1,101,82,12
4.220000,1,101,82,12
4.225000,1,101,82,12
4.230000,1,99,84,12
4.235000,1,97,86,12
4.240000,1,97,86,12
4.245000,1,96,87,12
4.250000,1,95,88,12
4.255000,1,95,88,12
4.260000,1,95,88,12
4.265000,1,95,88,12
4.270000,1,95,88,12
4.275000,1,95,88,12
4.280000,1,94,89,12
4.285000,1,94,89,12
4.290000,1,94,89,12
4.295000,1,94,89,12
4.300000,1,94,89,12
4.305000,1,94,89,12
4.310000,1,94,89,12
4.315000,1,94,89,12
4.320000,1,93,90,12
4.325000,1,93,90,12
4.330000,1,93,90,12
4.335000,1,93,90,12
4.340000,1,93,90,12
4.345000,1,93,90,12
4.350000,1,93,90,12
4.355000,1,93,90,12
4.360000,1,93,90,12
4.365000,1,92,91,12
4.370000,1,90,93,12
4.375000,1,90,93,12
4.380000,1,89,94,12
4.385000,1,88,95,12
4.390000,1,87,96,12
4.395000,1,87,96,12
4.400000,1,87,96,12
4.405000,1,87,96,12
4.410000,1,87,96,12
4.415000,1,87,96,12
4.420000,1,86,97,12
4.425000,1,86,97,12
4.430000,1,86,97,12
4.435000,1,85,98,12
4.440000,1,85,98,12
4.445000,1,84,99,12
4.450000,1,84,99,12
4.455000,1,83,100,12
4.460000,1,83,100,12
4.465000,1,83,100,12
4.470000,1,83,100,12
4.475000,1,82,101,12
4.480000,1,82,101,12
4.485000,1,82,101,12
4.490000,1,82,101,12
4.495000,1,82,101,12
4.500000,1,82,101,12
4.505000,1,81,102,12
4.510000,1,80,103,12
4.515000,1,80,103,12
4.520000,1,77,106,12
4.525000,1,76,107,12
4.530000,1,74,109,12
4.535000,1,72,111,12
4.540000,1,71,112,12
4.545000,1,71,112,12
4.550000,1,71,112,12
4.555000,1,70,113,12
4.560000,1,70,113,12
4.565000,1,70,113,12
4.570000,1,70,113,12
4.575000,1,69,114,12
4.580000,1,69,114,12
4.585000,1,69,114,12
4.590000,1,69,114,12
4.595000,1,67,116,12
4.600000,1,67,116,12
4.605000,1,67,116,12
4.610000,1,67,116,12
4.615000,1,66,117,12
4.620000,1,65,118,12
4.625000,1,65,118,12
4.630000,1,65,118,12
4.635000,1,64,119,12
4.640000,1,63,120,12
4.645000,1,62,121,12
4.650000,1,62,121,12
4.655000,1,60,123,12
4.660000,1,60,123,12
4.665000,1,59,124,12
4.670000,1,59,124,12
4.675000,1,59,124,12
4.680000,1,59,124,12
4.685000,1,59,124,12
4.690000,1,59,124,12
4.695000,1,59,124,12
4.700000,1,59,124,12
4.705000,1,59,124,12
4.710000,1,59,124,12
4.715000,1,58,125,12
4.720000,1,57,126,12
4.725000,1,56,127,12
4.730000,1,56,127,12
4.735000,1,55,128,12
4.740000,1,54,129,12
4.745000,1,52,131,12
4.750000,1,51,132,12
4.755000,1,49,134,12
4.760000,1,48,135,12
4.765000,1,48,135,12
4.770000,1,47,136,12
4.775000,1,46,137,12
4.780000,1,43,140,12
4.785000,1,42,141,12
4.790000,1,41,142,12
4.795000,1,40,143,12
4.800000,1,39,144,12
4.805000,1,39,144,12
4.810000,1,39,144,12
4.815000,1,38,145,12
4.820000,1,38,145,12
4.825000,1,37,146,12
4.830000,1,37,146,12
4.835000,1,37,146,12
4.840000,1,37,146,12
4.845000,1,37,146,12
4.850000,1,37,146,12
4.855000,1,37,146,12
4.860000,1,35,148,12
4.865000,1,35,148,12
4.870000,1,34,149,12
4.875000,1,32,151,12
4.880000,1,32,151,12
